Land;Gewässer;Station;Abholdatum / Uhrzeit;Messdatum / Uhrzeit;Durchfluss;Einheit Durchfluss;Pegel;Einheit Pegel;Temperatur;Einheit Temperatur;PH-Wert;Einheit PH-Wert;PH-Gehalt stromaufwärts;Einheit PH-Wert;Kalkgehalt;Einheit Kalkgehalt;Silikatgehalt;Einheit Silikatgehalt
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:20:05;12.08.21 17:18:51;11.0;m³/s;;;;;6.25;pH;5.97;pH;20.8;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:25:05;12.08.21 17:23:24;54.5;m³/s;216.6;cm;17.7;°C;6.55;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:25:05;12.08.21 17:23:54;48.8;m³/s;;;16.1;°C;6.27;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:25:05;12.08.21 17:06:35;29.5;m³/s;;;;;;;5.8;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:25:05;12.08.21 17:23:50;10.9;m³/s;;;;;6.23;pH;5.98;pH;20.8;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:30:04;12.08.21 17:28:25;54.5;m³/s;216.6;cm;17.7;°C;6.66;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:30:04;12.08.21 17:28:54;48.8;m³/s;;;16.1;°C;6.27;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:30:04;12.08.21 17:26:39;29.1;m³/s;;;;;;;5.78;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:30:04;12.08.21 17:28:51;10.9;m³/s;;;;;6.23;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:35:07;12.08.21 17:33:24;54.5;m³/s;216.6;cm;17.7;°C;6.61;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:35:07;12.08.21 17:33:54;48.8;m³/s;;;16.1;°C;6.26;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:35:07;12.08.21 17:26:38;29.1;m³/s;;;;;;;5.78;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:35:07;12.08.21 17:33:51;10.9;m³/s;;;;;6.23;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:40:05;12.08.21 17:38:26;54.5;m³/s;216.6;cm;17.7;°C;6.72;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:40:05;12.08.21 17:38:54;48.3;m³/s;;;16.1;°C;6.28;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:40:05;12.08.21 17:26:40;29.1;m³/s;;;;;;;5.78;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:40:05;12.08.21 17:38:51;11.0;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:45:07;12.08.21 17:43:25;54.4;m³/s;216.2;cm;17.7;°C;6.73;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:45:07;12.08.21 17:43:53;48.3;m³/s;;;16.1;°C;6.24;pH;6.14;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:45:07;12.08.21 17:26:39;29.1;m³/s;;;;;;;5.78;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:45:07;12.08.21 17:43:51;10.9;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:50:07;12.08.21 17:48:24;54.5;m³/s;216.6;cm;17.8;°C;6.71;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:50:07;12.08.21 17:48:53;48.3;m³/s;;;16.1;°C;6.26;pH;6.14;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:50:07;12.08.21 17:46:39;29.1;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:50:07;12.08.21 17:48:51;11.0;m³/s;;;;;6.22;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:55:06;12.08.21 17:53:24;54.4;m³/s;216.2;cm;17.8;°C;6.68;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:55:06;12.08.21 17:53:54;48.3;m³/s;;;16.1;°C;6.26;pH;6.14;pH;35.3;tonn;;
